support,itemsets
0.0795,"frozenset({'CUDA', 'TensorFlow'})"
0.083,"frozenset({'Excel', 'FastAPI'})"
0.042,"frozenset({'Excel', 'Flask'})"
0.039,"frozenset({'Excel', 'GCP'})"
0.0435,"frozenset({'Excel', 'Hugging Face'})"
0.0525,"frozenset({'Excel', 'KDB+'})"
0.0415,"frozenset({'Excel', 'Keras'})"
0.084,"frozenset({'LangChain', 'Excel'})"
0.082,"frozenset({'Excel', 'MLflow'})"
0.039,"frozenset({'Excel', 'NumPy'})"
0.043,"frozenset({'Excel', 'Pandas'})"
0.087,"frozenset({'Excel', 'PyTorch'})"
0.0425,"frozenset({'SQL', 'Excel'})"
0.0895,"frozenset({'Excel', 'Scikit-learn'})"
0.086,"frozenset({'Excel', 'TensorFlow'})"
0.0805,"frozenset({'FastAPI', 'Flask'})"
0.072,"frozenset({'GCP', 'FastAPI'})"
0.0745,"frozenset({'Hugging Face', 'FastAPI'})"
0.0875,"frozenset({'FastAPI', 'KDB+'})"
0.078,"frozenset({'Keras', 'FastAPI'})"
0.1515,"frozenset({'LangChain', 'FastAPI'})"
0.1565,"frozenset({'MLflow', 'FastAPI'})"
0.081,"frozenset({'FastAPI', 'NumPy'})"
0.0905,"frozenset({'Pandas', 'FastAPI'})"
0.0775,"frozenset({'Power BI', 'FastAPI'})"
0.1395,"frozenset({'PyTorch', 'FastAPI'})"
0.0755,"frozenset({'Python', 'FastAPI'})"
0.069,"frozenset({'R', 'FastAPI'})"
0.086,"frozenset({'Reinforcement Learning', 'FastAPI'})"
0.0775,"frozenset({'SQL', 'FastAPI'})"
0.1505,"frozenset({'Scikit-learn', 'FastAPI'})"
0.1595,"frozenset({'TensorFlow', 'FastAPI'})"
0.0415,"frozenset({'Hugging Face', 'Flask'})"
0.048,"frozenset({'Flask', 'KDB+'})"
0.0755,"frozenset({'LangChain', 'Flask'})"
0.0775,"frozenset({'MLflow', 'Flask'})"
0.075,"frozenset({'PyTorch', 'Flask'})"
0.074,"frozenset({'Scikit-learn', 'Flask'})"
0.0715,"frozenset({'TensorFlow', 'Flask'})"
0.0565,"frozenset({'GCP', 'KDB+'})"
0.04,"frozenset({'GCP', 'Keras'})"
0.0755,"frozenset({'LangChain', 'GCP'})"
0.0775,"frozenset({'GCP', 'MLflow'})"
0.0795,"frozenset({'GCP', 'PyTorch'})"
0.04,"frozenset({'GCP', 'Python'})"
0.0805,"frozenset({'GCP', 'Scikit-learn'})"
0.0845,"frozenset({'GCP', 'TensorFlow'})"
0.046,"frozenset({'Hugging Face', 'KDB+'})"
0.0395,"frozenset({'Keras', 'Hugging Face'})"
0.087,"frozenset({'LangChain', 'Hugging Face'})"
0.077,"frozenset({'Hugging Face', 'MLflow'})"
0.075,"frozenset({'PyTorch', 'Hugging Face'})"
0.0835,"frozenset({'Scikit-learn', 'Hugging Face'})"
0.079,"frozenset({'TensorFlow', 'Hugging Face'})"
0.0505,"frozenset({'Keras', 'KDB+'})"
0.097,"frozenset({'LangChain', 'KDB+'})"
0.0875,"frozenset({'MLflow', 'KDB+'})"
0.0495,"frozenset({'NumPy', 'KDB+'})"
0.052,"frozenset({'Pandas', 'KDB+'})"
0.0485,"frozenset({'Power BI', 'KDB+'})"
0.094,"frozenset({'PyTorch', 'KDB+'})"
0.054,"frozenset({'Python', 'KDB+'})"
0.0545,"frozenset({'R', 'KDB+'})"
0.0495,"frozenset({'Reinforcement Learning', 'KDB+'})"
0.054,"frozenset({'SQL', 'KDB+'})"
0.086,"frozenset({'Scikit-learn', 'KDB+'})"
0.0875,"frozenset({'TensorFlow', 'KDB+'})"
0.065,"frozenset({'LangChain', 'Keras'})"
0.077,"frozenset({'Keras', 'MLflow'})"
0.04,"frozenset({'Keras', 'NumPy'})"
0.076,"frozenset({'Keras', 'PyTorch'})"
0.0415,"frozenset({'SQL', 'Keras'})"
0.0875,"frozenset({'Scikit-learn', 'Keras'})"
0.082,"frozenset({'Keras', 'TensorFlow'})"
0.1535,"frozenset({'LangChain', 'MLflow'})"
0.076,"frozenset({'LangChain', 'NumPy'})"
0.0825,"frozenset({'LangChain', 'Pandas'})"
0.0825,"frozenset({'LangChain', 'Power BI'})"
0.137,"frozenset({'LangChain', 'PyTorch'})"
0.0795,"frozenset({'LangChain', 'Python'})"
0.082,"frozenset({'LangChain', 'R'})"
0.0765,"frozenset({'LangChain', 'Reinforcement Learning'})"
0.0825,"frozenset({'LangChain', 'SQL'})"
0.1545,"frozenset({'LangChain', 'Scikit-learn'})"
0.1475,"frozenset({'LangChain', 'TensorFlow'})"
0.074,"frozenset({'MLflow', 'NumPy'})"
0.0825,"frozenset({'Pandas', 'MLflow'})"
0.0805,"frozenset({'Power BI', 'MLflow'})"
0.1495,"frozenset({'PyTorch', 'MLflow'})"
0.0825,"frozenset({'Python', 'MLflow'})"
0.0705,"frozenset({'R', 'MLflow'})"
0.08,"frozenset({'Reinforcement Learning', 'MLflow'})"
0.08,"frozenset({'SQL', 'MLflow'})"
0.147,"frozenset({'Scikit-learn', 'MLflow'})"
0.152,"frozenset({'TensorFlow', 'MLflow'})"
0.0405,"frozenset({'Pandas', 'NumPy'})"
0.077,"frozenset({'PyTorch', 'NumPy'})"
0.04,"frozenset({'R', 'NumPy'})"
0.0835,"frozenset({'Scikit-learn', 'NumPy'})"
0.081,"frozenset({'TensorFlow', 'NumPy'})"
0.039,"frozenset({'Pandas', 'Power BI'})"
0.0835,"frozenset({'Pandas', 'PyTorch'})"
0.0395,"frozenset({'Pandas', 'R'})"
0.0475,"frozenset({'Pandas', 'Reinforcement Learning'})"
0.0825,"frozenset({'Pandas', 'Scikit-learn'})"
0.0885,"frozenset({'Pandas', 'TensorFlow'})"
0.067,"frozenset({'Power BI', 'PyTorch'})"
0.04,"frozenset({'Power BI', 'Python'})"
0.0455,"frozenset({'SQL', 'Power BI'})"
0.0805,"frozenset({'Power BI', 'Scikit-learn'})"
0.08,"frozenset({'Power BI', 'TensorFlow'})"
0.0775,"frozenset({'Python', 'PyTorch'})"
0.0745,"frozenset({'R', 'PyTorch'})"
0.079,"frozenset({'Reinforcement Learning', 'PyTorch'})"
0.067,"frozenset({'SQL', 'PyTorch'})"
0.149,"frozenset({'Scikit-learn', 'PyTorch'})"
0.1535,"frozenset({'TensorFlow', 'PyTorch'})"
0.0455,"frozenset({'R', 'Python'})"
0.0805,"frozenset({'Scikit-learn', 'Python'})"
0.0755,"frozenset({'TensorFlow', 'Python'})"
0.067,"frozenset({'Scikit-learn', 'R'})"
0.079,"frozenset({'R', 'TensorFlow'})"
0.042,"frozenset({'SQL', 'Reinforcement Learning'})"
0.0735,"frozenset({'Scikit-learn', 'Reinforcement Learning'})"
0.09,"frozenset({'Reinforcement Learning', 'TensorFlow'})"
0.0765,"frozenset({'SQL', 'Scikit-learn'})"
0.0775,"frozenset({'SQL', 'TensorFlow'})"
0.1505,"frozenset({'Scikit-learn', 'TensorFlow'})"
0.0515,"frozenset({'LangChain', 'MLflow', 'FastAPI'})"
0.0465,"frozenset({'LangChain', 'PyTorch', 'FastAPI'})"
0.0555,"frozenset({'LangChain', 'Scikit-learn', 'FastAPI'})"
0.0505,"frozenset({'LangChain', 'TensorFlow', 'FastAPI'})"
0.0465,"frozenset({'FastAPI', 'PyTorch', 'MLflow'})"
0.057,"frozenset({'Scikit-learn', 'MLflow', 'FastAPI'})"
0.0575,"frozenset({'TensorFlow', 'MLflow', 'FastAPI'})"
0.0475,"frozenset({'Scikit-learn', 'PyTorch', 'FastAPI'})"
0.053,"frozenset({'TensorFlow', 'PyTorch', 'FastAPI'})"
0.052,"frozenset({'Scikit-learn', 'TensorFlow', 'FastAPI'})"
0.05,"frozenset({'LangChain', 'PyTorch', 'MLflow'})"
0.0545,"frozenset({'LangChain', 'Scikit-learn', 'MLflow'})"
0.048,"frozenset({'LangChain', 'MLflow', 'TensorFlow'})"
0.05,"frozenset({'LangChain', 'Scikit-learn', 'PyTorch'})"
0.0475,"frozenset({'LangChain', 'PyTorch', 'TensorFlow'})"
0.053,"frozenset({'LangChain', 'Scikit-learn', 'TensorFlow'})"
0.053,"frozenset({'Scikit-learn', 'PyTorch', 'MLflow'})"
0.056,"frozenset({'TensorFlow', 'PyTorch', 'MLflow'})"
0.044,"frozenset({'TensorFlow', 'Scikit-learn', 'MLflow'})"
0.051,"frozenset({'TensorFlow', 'Scikit-learn', 'PyTorch'})"
