key,Support_frac,Confiance_python,Lift_python,Support,Confiance_weka,Lift_weka
{PyTorch}=>{TensorFlow},0.1535,0.3905852417302799,1.0,0.1535,0.39,0.95
{Python}=>{FastAPI},,,,0.0755,0.38,0.93
{Python}=>{LangChain},,,,0.0795,0.4,0.98
{Python}=>{MLflow},,,,0.0825,0.41,1.01
{Python}=>{PyTorch},,,,0.0775,0.39,0.98
{Python}=>{Scikit-learn},,,,0.0805,0.4,1.01
{Python}=>{TensorFlow},,,,0.0755,0.38,0.91
{Reinforcement Learning}=>{FastAPI},,,,0.086,0.42,1.02
{Reinforcement Learning}=>{MLflow},,,,0.08,0.39,0.95
{Reinforcement Learning}=>{PyTorch},,,,0.079,0.38,0.97
{Reinforcement Learning}=>{TensorFlow},,,,0.09,0.43,1.05
{R}=>{LangChain},,,,0.082,0.42,1.03
{R}=>{PyTorch},,,,0.0745,0.38,0.96
{R}=>{TensorFlow},,,,0.079,0.4,0.97
{SQL}=>{FastAPI},,,,0.0775,0.38,0.94
{SQL}=>{LangChain},,,,0.0825,0.4,1.0
{SQL}=>{MLflow},,,,0.08,0.39,0.97
{SQL}=>{Scikit-learn},,,,0.0765,0.38,0.94
{SQL}=>{TensorFlow},,,,0.0775,0.38,0.92
{Scikit-learn}=>{FastAPI},0.1505,0.3781407035175879,1.0,0.1505,0.38,0.93
{Scikit-learn}=>{LangChain},0.1545,0.3881909547738693,1.0,0.1545,0.39,0.96
{Scikit-learn}=>{MLflow},0.147,0.3693467336683417,1.0,,,
{Scikit-learn}=>{PyTorch},0.149,0.3743718592964824,1.0,0.149,0.37,0.95
{Scikit-learn}=>{TensorFlow},0.1505,0.3781407035175879,1.0,0.1505,0.38,0.92
{TensorFlow}=>{FastAPI},0.1595,0.3866666666666666,1.0,0.1595,0.39,0.95
{TensorFlow}=>{LangChain},0.1475,0.3575757575757576,1.0,,,
{TensorFlow}=>{MLflow},0.152,0.3684848484848484,1.0,,,
{TensorFlow}=>{PyTorch},0.1535,0.3721212121212121,1.0,0.1535,0.37,0.95
{TensorFlow}=>{Scikit-learn},0.1505,0.3648484848484848,1.0,,,
